,Platform,Year,Genre,Publisher,Global_Sales,Meta_NP,Meta_VP,Meta_NUsers,Meta_VUsers,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,Support_JVC,langue_parlée_JVC,texte_JVC,freq_name
4408,PS3,2009,Sports,Take-Two Interactive,0.08,49.0,8.0,6.5,8.0,11.0,0.0,15.0,3.0,Blu-Ray,français,français,3.0
4409,PS2,2002,Shooter,Empire Interactive,0.08,57.0,12.0,6.8,5.0,13.0,4.0,9.8,3.0,CD,français,français,4.0
4410,PS4,2015,Role-Playing,Capcom,0.08,78.0,24.0,8.3,215.0,11.0,0.0,15.0,16.0,Autre,français,français,1.0
4411,PSP,2010,Role-Playing,Nippon Ichi Software,0.08,55.0,31.0,6.8,43.0,11.0,3.0,14.7,18.0,Autre,français,anglais,4.0
4412,GC,2003,Racing,THQ,0.08,55.0,14.0,7.5,6.0,8.0,10.0,7.2,12.0,Autre,anglais,anglais,3.0
4413,PS2,2007,Role-Playing,Flight-Plan,0.08,29.0,4.0,4.2,5.0,11.0,0.0,15.0,3.0,Autre,français,français,1.0
4414,GC,2002,Sports,Midway Games,0.08,82.0,12.0,8.6,8.0,14.0,4.0,17.5,3.0,Autre,français,français,2.0
4415,X360,2009,Shooter,Playlogic Game Factory,0.08,35.0,23.0,4.8,12.0,8.0,19.0,9.4,16.0,DVD,français,français,3.0
4416,PS2,2006,Fighting,Sammy Corporation,0.08,77.0,9.0,8.4,21.0,11.0,2.0,5.0,12.0,CD,français,français,2.0
4417,PS2,2005,Action,Namco Bandai Games,0.08,60.0,44.0,8.7,67.0,12.0,30.0,16.4,16.0,DVD,anglais,français,4.0
4418,GC,2003,Action,Capcom,0.08,62.0,14.0,8.9,109.0,17.0,16.0,18.3,16.0,Autre,français,français,3.0
4419,GC,2003,Sports,Acclaim Entertainment,0.08,80.0,14.0,8.2,6.0,13.0,2.0,15.0,3.0,Autre,anglais,anglais,1.0
4420,GC,2007,Sports,Electronic Arts,0.08,75.0,4.0,8.8,17.0,15.0,4.0,19.0,3.0,Autre,français,français,2.0
4421,PC,2004,Racing,Electronic Arts,0.08,82.0,31.0,8.6,887.0,15.0,208.0,16.6,3.0,CD,français,français,2.0
4422,X360,2010,Action,Warner Bros. Interactive Entertainment,0.08,60.0,13.0,7.7,6.0,12.0,8.0,18.0,12.0,Autre,français,français,2.0
4423,PSP,2005,Puzzle,D3Publisher,0.08,69.0,34.0,7.5,4.0,13.0,1.0,14.0,3.0,UMD,anglais,français,4.0
4424,PS,2000,Shooter,Atari,0.08,37.0,7.0,6.9,35.0,13.0,35.0,15.2,16.0,CD,français,français,3.0
4425,PSP,2005,Platform,Namco Bandai Games,0.08,61.0,9.0,7.9,12.0,9.0,2.0,14.5,3.0,UMD,anglais,français,1.0
4426,PS,1998,Action,Take-Two Interactive,0.08,61.0,18.0,6.5,51.0,11.0,2.0,20.0,3.0,CD,français,français,3.0
4427,PC,2012,Racing,Electronic Arts,0.08,78.0,14.0,4.5,1019.0,15.0,34.0,15.8,7.0,Autre,français,français,2.0
4428,DS,2008,Action,Square Enix,0.08,70.0,21.0,7.3,7.0,11.0,6.0,14.7,12.0,Cartouche,français,français,1.0
4429,Wii,2009,Shooter,Reef Entertainment,0.08,70.0,14.0,8.2,5.0,11.0,1.0,14.0,3.0,Autre,français,français,3.0
4430,GC,2003,Racing,Namco Bandai Games,0.08,67.0,35.0,7.0,5.0,12.0,19.0,16.1,12.0,Autre,français,français,2.0
4431,PS2,2004,Strategy,505 Games,0.08,75.0,31.0,8.4,25.0,16.0,23.0,16.1,12.0,DVD,anglais,anglais,4.0
4432,XB,2004,Shooter,Gathering of Developers,0.08,57.0,32.0,8.1,12.0,9.0,8.0,13.5,18.0,DVD,anglais,français,3.0
4433,GC,2003,Shooter,SCi,0.08,62.0,19.0,8.1,14.0,11.0,2.0,19.5,16.0,Autre,français,français,4.0
4434,PS2,2002,Strategy,Tecmo Koei,0.08,71.0,12.0,5.5,6.0,10.0,2.0,10.5,3.0,CD,anglais,anglais,3.0
4435,PS3,2009,Racing,Sony Computer Entertainment,0.08,89.0,15.0,8.2,136.0,16.0,116.0,16.6,3.0,Blu-Ray,anglais,français,3.0
4436,X360,2011,Racing,Ubisoft,0.08,65.0,20.0,6.3,13.0,12.0,16.0,15.1,3.0,Autre,français,français,1.0
4437,XB,2006,Shooter,Ubisoft,0.08,78.0,15.0,6.8,42.0,15.0,16.0,17.1,16.0,DVD,français,français,3.0
4438,GBA,2002,Shooter,Zoo Digital Publishing,0.08,46.0,5.0,1.7,13.0,3.0,21.0,6.0,12.0,Cartouche,français,anglais,3.0
4439,Wii,2008,Role-Playing,Rising Star Games,0.08,50.0,22.0,8.3,29.0,11.0,2.0,19.0,12.0,Autre,français,français,4.0
4440,PC,2009,Role-Playing,DTP Entertainment,0.08,72.0,43.0,7.7,165.0,18.0,161.0,16.7,12.0,DVD,français,français,1.0
4441,XB,2005,Platform,THQ,0.08,61.0,18.0,8.4,23.0,13.0,19.0,17.1,3.0,Autre,anglais,français,4.0
4442,PS4,2015,Platform,Yacht Club Games,0.08,90.0,18.0,7.7,448.0,11.0,4.0,18.3,3.0,PlayStation Store,anglais,anglais,1.0
4443,GC,2002,Racing,BAM! Entertainment,0.08,55.0,12.0,7.4,5.0,12.0,4.0,17.0,3.0,Autre,français,anglais,4.0
4444,XB,2002,Action,THQ,0.08,70.0,11.0,8.8,22.0,15.0,66.0,16.3,12.0,DVD,français,français,1.0
4445,DS,2006,Action,Electronic Arts,0.08,33.0,8.0,4.0,18.0,6.0,7.0,5.6,12.0,Autre,français,français,2.0
4446,PS4,2015,Role-Playing,Tecmo Koei,0.08,67.0,40.0,7.3,98.0,15.0,3.0,18.3,3.0,Autre,français,français,1.0
