,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Meta_NP,Meta_VP,Meta_NUsers,Meta_VUsers,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,Support_JVC,langue_parlée_JVC,texte_JVC
3140,Diablo III,XOne,2014.0,Role-Playing,Activision,0.35,0.24,0.0,0.05,0.64,86.0,18.0,7.6,378.0,18.0,24.0,18.2,16.0,Autre,français,français
3144,Crash: Twinsanity,PS2,2004.0,Platform,Vivendi Games,0.32,0.25,0.0,0.08,0.64,64.0,38.0,8.4,321.0,11.0,2.0,16.5,7.0,Autre,français,français
3149,NBA 2K17,XOne,2016.0,Sports,Take-Two Interactive,0.54,0.04,0.0,0.07,0.64,90.0,17.0,5.9,144.0,17.0,28.0,15.1,3.0,Autre,anglais,français
3150,Lost Planet: Extreme Condition,PS3,2008.0,Shooter,Capcom,0.31,0.17,0.07,0.09,0.64,67.0,34.0,6.9,42.0,16.0,18.0,15.2,16.0,DVD,anglais,français
3151,XCOM: Enemy Unknown,X360,2012.0,Strategy,Take-Two Interactive,0.36,0.23,0.0,0.05,0.64,90.0,35.0,8.3,408.0,18.0,3.0,19.7,16.0,Autre,français,français
3152,Rayman 3D,3DS,2011.0,Platform,Ubisoft,0.23,0.35,0.0,0.06,0.64,61.0,39.0,6.4,64.0,13.0,166.0,14.6,7.0,Cartouche,français,français
3156,Stuntman: Ignition,X360,2007.0,Racing,THQ,0.25,0.32,0.0,0.07,0.64,75.0,38.0,7.2,36.0,16.0,27.0,15.6,16.0,Blu-Ray DVD,français,français
3157,NBA Live 06,XB,2005.0,Sports,Electronic Arts,0.57,0.04,0.0,0.03,0.64,79.0,30.0,6.4,16.0,17.0,26.0,17.3,3.0,Autre,français,français
3159,LEGO Star Wars II: The Original Trilogy,X360,2006.0,Action,LucasArts,0.55,0.04,0.0,0.05,0.64,81.0,50.0,8.0,63.0,13.0,4.0,18.8,3.0,Autre,français,français
3160,Tom Clancy's Rainbow Six,N64,1999.0,Shooter,Red Storm Entertainment,0.48,0.15,0.0,0.01,0.64,85.0,13.0,8.0,85.0,16.0,4.0,13.0,3.0,Autre,français,français
