,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,developpeur_goo,distributeur_goo,langue_goo,PEGI_goo,game_series_goo,game_mode_goo,developpeur_wiki,langue_wiki,PEGI_wiki,game_mode_wiki,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,max_joueurs_JVC,Mode_JVC,Support_JVC,Langue_JVC
2331,Ace Combat 2,PS,1997.0,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,,,,,,Single-player,Namco,,3+ ?,Un joueur,--,(21),18.2,,,Jouable en solo,CD,Textes en anglais
2332,F1 2009,Wii,2009.0,Racing,Codemasters,0.15,0.63,0.0,0.11,0.89,,,,,,,,,,,16,(107),15.9,+3 ans,Oui,,,
2333,NFL 2K2,PS2,2001.0,Sports,Sega,0.44,0.34,0.0,0.11,0.89,,,,,,,,,,,--,(0),--,,4 joueurs,,CD,
2334,EA Sports UFC 2,PS4,2016.0,Sports,Electronic Arts,0.28,0.47,0.0,0.14,0.89,,,,,,,EA Canada,,,Solo,17,(54),12.5,+18 ans,,,,
2335,Dissidia 012: Duodecim Final Fantasy,PSP,2011.0,Fighting,Square Enix,0.21,0.13,0.46,0.08,0.89,,,,,,,,,,,16,(350),16.7,+12 ans,oui en local uniquement,,UMD,Voix en français Textes en anglais
2336,LEGO Marvel Super Heroes,3DS,2013.0,Action,Warner Bros. Interactive Entertainment,0.42,0.36,0.04,0.07,0.89,"TT Games, Traveller's Tales, Feral Interactive, TT Fusion",,,,,,TT Games,Multilingue,,"Un joueur, multijoueur",12,(9),10,+7 ans,Jeu de carte multijoueur via Streetpass,Jouable en solo Multi en local,Cartouche,Voix en français Textes en français
2337,F1 2010,X360,2010.0,Racing,Codemasters,0.18,0.59,0.01,0.1,0.89,,,,,,,,,,,17,(238),17.1,+3 ans,,Multi en ligne,Blu-Ray DVD App Store,Voix en français Textes en français
2338,Monster 4X4: World Circuit,Wii,2006.0,Racing,Ubisoft,0.81,0.0,0.01,0.07,0.89,,,,,,,Ubisoft Barcelona,,,"Multijoueur, solo",8,(24),7.3,+3 ans,,,,
2339,Call of Duty: Modern Warfare 2,PC,2009.0,Shooter,Activision,0.01,0.79,0.0,0.09,0.89,,,,,,,,,,,16,(68),7.7,,,,,
2340,Wii Fit U,WiiU,2013.0,Sports,Nintendo,0.39,0.24,0.21,0.06,0.89,,,,,,,,,,,14,(16),17.1,,Non (suivi des résultats de groupes de joueurs),Jouable en solo,iDensity,Voix en français Textes en français
2341,Kingdoms of Amalur: Reckoning,X360,2012.0,Role-Playing,Electronic Arts,0.55,0.25,0.01,0.07,0.89,,,,,,,"38 Studios, Big Huge Games",Allemand,18 ?2,Un joueur,15,(8),13.1,+18 ans,,Jouable en solo,Cartouche Steam PlayStation Store Windows Store eShop Blu-Ray,Voix en français Textes en français
2342,Call of Duty: Modern Warfare 3,Wii,2011.0,Shooter,Activision,0.6,0.21,0.0,0.08,0.89,Infinity Ward; Sledgehammer Ga...,,,,,,,,,,12,(18),10.1,+18 ans,,,,
2343,MLB 2001,PS,2000.0,Sports,Sony Computer Entertainment,0.49,0.34,0.0,0.06,0.89,,,,,,,,,,,--,(0),--,,,,,
2344,SingStar Anthems,PS2,2006.0,Misc,Sony Computer Entertainment,0.0,0.68,0.0,0.2,0.89,London Studio; Editeur: Sony Computer Entertainment ...,,,,,,,,,,no_data,no_data,no_data,,,,,
2345,Seiken Densetsu 3,SNES,1995.0,Role-Playing,SquareSoft,0.0,0.0,0.89,0.0,0.89,,,,,,,Square,,,Un ou deux joueurs,17,(31),17.9,,2 joueurs,,Cartouche,
2346,Mega Man 8 Anniversary Collector's Edition,PS,1996.0,Platform,Capcom,0.44,0.3,0.09,0.06,0.88,,,,,,,,,,,no_data,no_data,no_data,,,,,
2347,WWE SmackDown vs. Raw 2011,X360,2010.0,Fighting,THQ,0.44,0.36,0.0,0.08,0.88,,,,,,,,,,,16,(239),16.8,+16 ans,,Jouable en solo Multi en local Multi en ligne,UMD DVD Blu-Ray,Voix en français Textes en français Voix en anglais
2348,Sleeping Dogs,X360,2012.0,Action,Square Enix,0.38,0.41,0.01,0.08,0.88,,,,,,,,,,,16,(639),17,+18 ans,,Jouable en solo,Online Blu-Ray PlayStation Store Contenu Xbox Live DVD,Textes en français Voix en anglais
2349,Grand Theft Auto IV,PC,2008.0,Action,Take-Two Interactive,0.01,0.79,0.0,0.08,0.88,Rockstar North,,,,,,Rockstar North,Sous-titres et menus : Français,18+ ?13,"Un joueur, multijoueur (16 joueurs maximum sur consoles PS33 et Xbox 3604, 32 joueurs maximum sur Ordinateur6)",18,(1235),16.1,+18 ans,,Jouable en solo Multi en local Multi en ligne,DVD,Textes en français Voix en anglais
