,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,developpeur_goo,distributeur_goo,langue_goo,PEGI_goo,game_series_goo,game_mode_goo,developpeur_wiki,langue_wiki,PEGI_wiki,game_mode_wiki,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,max_joueurs_JVC,Mode_JVC,Support_JVC,Langue_JVC
11393,Gradius III and IV,PS2,2000.0,Shooter,Konami Digital Entertainment,0.04,0.03,0.0,0.01,0.08,,,,,,,,,,,10,(9),12.4,+3 ans,2 joueurs,,CD,Textes en anglais
11394,Pilot ni Narou! 2,PS2,2001.0,Simulation,Victor Interactive,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11395,AKB1/149: Love Election,PS3,2013.0,Adventure,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11396,Ken to Mahou to Gakuen Mono. Final: Shinnyusei wa Ohimesama,PSP,2011.0,Strategy,Acquire,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11397,Man vs. Wild,PS3,2010.0,Action,Abylight,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,6,(1),14,,,,Blu-Ray DVD,
11398,Incredible Crisis,PS,1999.0,Action,Titus,0.04,0.03,0.0,0.01,0.08,,,,,,,,,,,12,(15),16.1,+3 ans,Non,Jouable en solo,CD,Textes en français
11399,Midway Arcade Treasures 3,XB,2005.0,Misc,Midway Games,0.06,0.02,0.0,0.0,0.08,,,,,,,,,,,8,(1),13,+12 ans,,,Nintendo Game Disc DVD CD,Voix en français Textes en français
11400,Witches & Vampires: The Secrets of Ashburry,DS,2010.0,Adventure,DTP Entertainment,0.05,0.02,0.0,0.01,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11401,The King of Fighters EX2: Howling Blood,GBA,2002.0,Fighting,Marvelous Interactive,0.06,0.02,0.0,0.0,0.08,,,,,,Single player; Multiplayer,,,,,no_data,no_data,no_data,,,,,
11402,Samurai Shodown III,NG,1995.0,Fighting,SNK,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,--,(4),17,+3 ans,,,,
11403,Disney's Meet the Robinsons,X360,2007.0,Action,Disney Interactive Studios,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,11,(4),15.3,+7 ans,,Jouable en solo,Cartouche DVD PlayStation Store Nintendo Game Disc,Voix en français Textes en français
11404,Cabela's North American Adventures,PS2,2010.0,Sports,Activision,0.04,0.03,0.0,0.01,0.08,,,,,,,,,,,--,(0),--,,,,DVD,
11405,Akiba's Trip Plus,PSP,2012.0,Adventure,Acquire,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,--,(0),--,,,,UMD,
11406,Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,GBA,2004.0,Strategy,Nintendo,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11407,NBA 10: The Inside,PSP,2009.0,Sports,Sony Computer Entertainment,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,--,no_data,no_data,+3 ans,2 joueurs,,,
11408,Jillian Michaels Fitness Ultimatum 2010,DS,2009.0,Sports,Majesco Entertainment,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,--,(0),--,,,,Cartouche,
11409,Dragon Ball Z: Battle of Z,X360,2014.0,Fighting,Namco Bandai Games,0.01,0.06,0.0,0.01,0.08,,,,,,,,,,,10,(71),14.1,+12 ans,,Jouable en solo Multi en local Multi en ligne Multi en coopératif Multi en compétitif,DVD Blu-Ray New Game Media,Textes en français Voix en japonais
11410,Silent Hunter III,PC,2005.0,Simulation,Ubisoft,0.0,0.07,0.0,0.01,0.08,,,,,,,,,,,16,(48),17.4,+7 ans,"jusqu'à 8 joueurs en LAN, 4 joueurs sur internet (Ubi.com)",Multi en local Multi en ligne,DVD,Voix en anglais Textes en anglais
11411,Famicom Mini: Star Soldier,GBA,2004.0,Shooter,Nintendo,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11412,Sentimental Graffiti 2,DC,2000.0,Adventure,NEC Interchannel,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11413,Shonen Jump's One Piece: Pirates Carnival,GC,2005.0,Misc,Namco Bandai Games,0.06,0.02,0.0,0.0,0.08,"h.a.n.d., Bandai Namco Holdings",,,,,Multijoueur,,,,,no_data,no_data,no_data,,,,,
11414,Kobitodzukan: Kobito no Fushigi - Jikken Set,3DS,2013.0,Misc,Nippon Columbia,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11415,Goblin Commander: Unleash the Horde,XB,2003.0,Strategy,Jaleco,0.06,0.02,0.0,0.0,0.08,Jaleco | Éditeur : Jaleco | Genre : Stratégie | Physique uniquement. Sortie : 16 ...,,,,,,,,,,14,(18),17.2,+12 ans,,,Cartouche DVD Nintendo Game Disc,Voix en français Textes en français
11416,Serious Sam 3: BFE,PC,2011.0,Shooter,Mastertronic,0.01,0.05,0.0,0.01,0.08,,,,,,,,,,,--,(1),4,,,Jouable en solo Multi en local Multi en ligne,eShop,Textes en français
11417,MXGP 2,PS4,2016.0,Racing,Milestone S.r.l.,0.02,0.05,0.0,0.01,0.08,,,,,,,,,,,14,(27),13.2,,,Jouable en solo Multi sur le même écran Multi en ligne,,
11418,Doraemon: Nobita and the Island of Miracles,3DS,2012.0,Action,FuRyu,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11419,Puzzler Mind Gym 3D,3DS,2011.0,Puzzle,Ubisoft,0.07,0.0,0.0,0.0,0.08,,,,,,,,,,,--,(0),--,,,,Cartouche,
11420,Lost Dimension,PS3,2014.0,Role-Playing,Nippon Ichi Software,0.05,0.01,0.0,0.01,0.08,,,Anglais; Dimensions du colis : 13.6 x 10.4 x 1.2 cm; ...,,,,,,,,13,(6),14.8,,,Jouable en solo,PlayStation Store Blu-Ray,Voix en anglais Textes en anglais
11421,Sentimental Graffiti: First Window,SAT,1997.0,Adventure,NEC Interchannel,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11422,Gekijouban Madoka Magicka: The Battle Pentagram,PSV,2013.0,Action,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11423,Cartoon Network Collection: Game Boy Advance Video Volume 2,GBA,2004.0,Misc,,0.06,0.02,0.0,0.0,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11424,Sherlock Holmes: Crimes & Punishments,XOne,2014.0,Adventure,Focus Home Interactive,0.03,0.04,0.0,0.01,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11425,Tempest 3X,PS,1995.0,Shooter,Interplay,0.04,0.03,0.0,0.01,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11426,A-Train,PS,1995.0,Simulation,Sony Computer Entertainment,0.02,0.01,0.04,0.01,0.08,,,,,,,,,,,--,(18),17.2,+3 ans,,Jouable en solo,Disquette CD,
11427,Hidden Invasion,PS2,2001.0,Shooter,Swing! Entertainment,0.04,0.03,0.0,0.01,0.08,,,,,,,,,,,10,(3),9.3,+3 ans,Non,Jouable en solo,,
11428,My Friends,DS,2009.0,Misc,Oxygen Interactive,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,--,(2),13,,,,,
11429,World Series of Poker 2008: Battle for the Bracelets,X360,2007.0,Misc,Activision,0.06,0.01,0.0,0.01,0.08,,,,,,,,,,,11,(8),15.8,+12 ans,,Multi en ligne,Cartouche UMD DVD Blu-Ray,Voix en anglais Textes en anglais
11430,Superman: Shadow of Apokolips,GC,2003.0,Action,Atari,0.06,0.02,0.0,0.0,0.08,,,,,,,,,,,10,(4),14.5,+3 ans,,Jouable en solo,DVD Nintendo Game Disc,Voix en français Textes en français
11431,Armored Core 3 Portable,PSP,2009.0,Simulation,From Software,0.0,0.0,0.08,0.0,0.08,FromSoftware,,,,Armored Core,Multijoueur,,,,,--,(1),11,,,,UMD,
11432,Bleach: Erabareshi Tamashii,PS2,2005.0,Adventure,Sony Computer Entertainment,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11433,The Croods: Prehistoric Party!,DS,2013.0,Misc,D3Publisher,0.03,0.04,0.0,0.01,0.08,,,,,,,,,,,--,no_data,no_data,+7 ans,,,Cartouche,
11434,Sengoku Musou 3: Moushouden,Wii,2011.0,Action,Ackkstudios,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,--,(0),--,,,,DVD,
11435,Batman: Dark Tomorrow,GC,2003.0,Action,Kemco,0.06,0.02,0.0,0.0,0.08,,,,,,,,,,,5,(1),12,+3 ans,,Jouable en solo,Nintendo Game Disc CD DVD,Voix en français Textes en français Voix en anglais Textes en anglais
11436,Code Lyoko: Fall of X.A.N.A.,DS,2008.0,Adventure,Game Factory,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,9,(26),9.2,+12 ans,2 joueurs en multi-cartes,,Cartouche,
11437,Looney Tunes: Galactic Sports,PSV,2015.0,Action,Sony Computer Entertainment,0.0,0.06,0.0,0.02,0.08,,,,,,,,,,,--,no_data,no_data,,,,,
11438,Yuu Yuu Hakusho: Makyo Toitsusen,GEN,1994.0,Fighting,Sega,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,--,(4),16.8,,,,Cartouche,
11439,The First Templar,PC,2011.0,Action,Kalypso Media,0.06,0.01,0.0,0.01,0.08,,,,,,,,,,,11,(9),11.4,+16 ans,2 joueurs en coopération en ligne ou en local,Multi en ligne Multi en coopératif,DVD,Textes en français Voix en anglais
11440,Rock Revolution,Wii,,Misc,Unknown,0.07,0.0,0.0,0.01,0.08,"Zoë Mode, HB Studios, Kuju Entertainment, Savage entertainment",,,,,Multijoueur,,,,,--,no_data,no_data,,,,,
11441,Ogre Battle Series: Tactics Ogre,PS,1997.0,Role-Playing,Atlus,0.04,0.03,0.0,0.01,0.08,"Quest, Nintendo, Square Enix, Riverhillsoft, SQUARE ENIX CO., LTD., SNK Corporation",,,,,,,,,,no_data,no_data,no_data,,,,,
11442,Little League World Series Baseball 2010,PS3,2010.0,Sports,Activision,0.07,0.0,0.0,0.01,0.08,Now Production,,,,Little League World Series Baseball,,,,,,--,(0),--,,,,Blu-Ray,
11443,Wordfish,DS,2008.0,Puzzle,Ubisoft,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11444,Fireblade,XB,2002.0,Action,Midway Games,0.06,0.02,0.0,0.0,0.08,,,,,,,,,,,11,(1),11,+12 ans,,Jouable en solo,DVD Nintendo Game Disc,Voix en français Textes en français Textes en anglais
11445,futureU: The Prep Game for SAT,DS,2008.0,Misc,Aspyr,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11446,BioShock The Collection,XOne,2016.0,Shooter,Take-Two Interactive,0.03,0.04,0.0,0.01,0.08,,,,,,,,,,,17,(35),17.5,+18 ans,,Jouable en solo,,
11447,Just Dance: Disney Party 2,WiiU,2015.0,Action,Ubisoft,0.06,0.01,0.0,0.01,0.08,,,,,,,,,,,--,no_data,no_data,,,,,
11448,Tomb Raider: Legend,GC,2006.0,Action,Eidos Interactive,0.06,0.02,0.0,0.0,0.08,,,,12 ans et plus | 2006 | de Square Enix. 4.1 ; Lara Croft Tomb Raider Anniversary. Classification PEGI : 16 ans et plus ...,,,,,,,15,(127),16.3,+16 ans,Non,Jouable en solo,Blu-Ray,Voix en français Textes en français
11449,Boxing Fever,GBA,2001.0,Sports,THQ,0.06,0.02,0.0,0.0,0.08,,,,,,,,,,,10,(6),11.8,+12 ans,2 joueurs,,,
11450,RoadKill,XB,2003.0,Action,Midway Games,0.06,0.02,0.0,0.0,0.08,,,,,,,,,,,--,no_data,no_data,+18 ans,,,DVD Nintendo Game Disc CD,
11451,Discovery Kids: Spider Quest,DS,2009.0,Misc,505 Games,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,--,(0),--,,,,Cartouche,
11452,Valkyrie Drive: Bhikkhuni,PSV,2015.0,Action,PQube,0.0,0.01,0.07,0.0,0.08,,,,,,,,,,,10,(2),17.5,,,Jouable en solo Multi en ligne,PlayStation Store,
11453,Gintama: Gin-San to Issho! Boku no Kabuki Machi Nikki,PS2,2007.0,Action,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,,,,,Gintama,,,,,,no_data,no_data,no_data,,,,,
11454,7 Wonders of the Ancient World,PSP,2007.0,Puzzle,Mumbo Jumbo,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,10,(3),6,+3 ans,non,Jouable en solo,UMD,Voix en français Textes en français
11455,New International Track & Field,DS,2008.0,Sports,Konami Digital Entertainment,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11456,Indycar Series 2005,XB,2004.0,Action,Codemasters,0.06,0.02,0.0,0.0,0.08,,,,,,,,,,,11,(4),15.3,+3 ans,,Multi sur le même écran Multi en ligne,DVD,Voix en français Textes en français
11457,Final Fantasy XI: Vana'diel Collection 2008,PS2,2007.0,Role-Playing,Square Enix,0.03,0.03,0.01,0.01,0.08,,,,,,,,,,,--,(4),15.8,+3 ans,,,DVD,
11458,Lost in Blue: Shipwrecked,Wii,2008.0,Adventure,Konami Digital Entertainment,0.07,0.0,0.0,0.01,0.08,,,,"7 ans et plus | de Konami. 4.04,0 sur 5 étoiles (7).",,,,,,,10,(6),10.3,+7 ans,2 joueurs en coopération dans les mini-jeux,Multi en coopératif,DVD,
11459,Madden NFL 17,X360,2016.0,Sports,Electronic Arts,0.06,0.01,0.0,0.01,0.08,,,,"3 ans et plus | de Electronic Arts. 4.04,0 sur 5 étoiles (33).",,,,,,,17,(2),17.5,,,,,
11460,Taz Wanted,GC,2002.0,Platform,Atari,0.06,0.02,0.0,0.0,0.08,,,,,,,,,,,11,(22),16.5,+3 ans,,,CD DVD Nintendo Game Disc,Voix en français Textes en français
11461,The Voice,X360,2014.0,Action,Activision,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,--,(1),15,,,,,
11462,Penny Racers Party: Turbo-Q Speedway,Wii,2008.0,Racing,Takara Tomy,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,--,(0),--,,jusqu'à 4 joueurs,,DVD,
11463,Skydiving Extreme,PS,2001.0,Sports,Banpresto,0.04,0.03,0.0,0.01,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11464,Evil Dead: Regeneration,XB,2005.0,Action,THQ,0.06,0.02,0.0,0.0,0.08,,,,,,,,,,,8,(3),16,+18 ans,,Jouable en solo,DVD CD,Voix en anglais Textes en anglais
11465,Dreamer Series: Shop Owner,DS,2009.0,Simulation,Deep Silver,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11466,Evolution Worlds,GC,2002.0,Role-Playing,Ubisoft,0.06,0.02,0.0,0.0,0.08,,,,,,,,,,,11,(4),14.5,+3 ans,Non,Jouable en solo,Nintendo Game Disc,Voix en anglais Textes en anglais
11467,Dead Island: Riptide,PC,,Action,Deep Silver,0.0,0.07,0.0,0.01,0.08,,,,,,,,,,,13,(2),14.5,+18 ans,,,,
11468,Sherlock Holmes: Crimes & Punishments,PS3,2014.0,Adventure,Focus Home Interactive,0.03,0.04,0.0,0.01,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11469,Drama Queens,DS,2009.0,Misc,Majesco Entertainment,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,--,(0),--,,,,Cartouche,
11470,Motto! Stitch! DS Rhythm de Rakugaki Daisakusen,DS,2010.0,Misc,Disney Interactive Studios,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,--,(0),--,,,,Cartouche,
11471,Rapala Pro Bass Fishing 2010,PS2,2010.0,Sports,Activision,0.04,0.03,0.0,0.01,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11472,My First Songs,Wii,2010.0,Misc,Mindscape,0.0,0.07,0.0,0.01,0.08,,,,,,,,,,,--,no_data,no_data,,,,,
11473,Dungeon Travelers 2: The Royal Library & The Monster Seal,PSP,2013.0,Role-Playing,Aqua Plus,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11474,Ultimate Party Challenge,Wii,2009.0,Misc,Konami Digital Entertainment,0.07,0.0,0.0,0.01,0.08,Développeur non défini; Genre : Inclassable; PEGI : 7. Support : Wii; Nombre de joueurs : 1. Sorties : Non renseignée.,,,7. Support : Wii; Nombre de joueurs : 1. Sorties : Non renseignée.,,,,,,,--,no_data,no_data,+3 ans,Non,Jouable en solo,DVD,
11475,Assassin's Creed Chronicles,PS4,2016.0,Action,Ubisoft,0.01,0.05,0.01,0.01,0.08,,,,,,,,,,,12,(3),15.7,+16 ans,,Jouable en solo,PlayStation Store,
11476,Scooby-Doo! Who's Watching Who?,PSP,2006.0,Adventure,THQ,0.07,0.01,0.0,0.01,0.08,,,,,,,,,,,10,(2),15.5,+3 ans,non,Jouable en solo,,
11477,Sub Rebellion,PS2,2002.0,Simulation,Metro 3D,0.04,0.03,0.0,0.01,0.08,,,,,,,,,,,9,(2),13,,non,Jouable en solo,,
11478,Legend of the Guardians: The Owls of Ga'Hoole,PS3,2010.0,Action,Warner Bros. Interactive Entertainment,0.06,0.01,0.0,0.01,0.08,,,,,,,,,,,12,(14),14.4,+12 ans,non,Jouable en solo,Blu-Ray,
11479,Striker 96,PS,1995.0,Sports,Time Warner Interactive,0.04,0.03,0.0,0.01,0.08,,,,,,,,,,,--,no_data,no_data,,,,,
11480,Tokimeki Memorial 4,PSP,2009.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11481,Bleach: Heat the Soul 4,PSP,2007.0,Fighting,Sony Computer Entertainment,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,--,(2),18,,1 à 2 joueurs,,UMD,Voix en japonais Textes en japonais
11482,Pocket Dogs,GBA,2004.0,Misc,Agatsuma Entertainment,0.06,0.02,0.0,0.0,0.08,,,,,,,,,,,--,(0),--,+3 ans,,,,
11483,Real Robots Final Attack,PS,1998.0,Shooter,Banpresto,0.0,0.0,0.07,0.01,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11484,Minecraft: Story Mode,PC,2015.0,Adventure,Mojang,0.02,0.05,0.0,0.01,0.08,,,,"7 ans et plus. 4.34,3 sur 5 étoiles (153).",,SAISON 1 - FILM JEU ...,,,,,--,no_data,no_data,,,Jouable en solo,,
11485,P.N.03 - Product Number Three,GC,2003.0,Shooter,Capcom,0.06,0.02,0.0,0.0,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11486,Samurai Warriors 2,X360,2006.0,Action,Tecmo Koei,0.07,0.01,0.0,0.01,0.08,,,,,,,,,,,14,(20),17.6,+12 ans,,,PlayStation Store DVD,Voix en anglais Textes en anglais
11487,Boku no Natsuyasumi 3: Hokkoku Hen: Chiisana Boku no Dai Sougen​,PS3,2007.0,Adventure,Sony Computer Entertainment,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11488,Ape Escape: Pumped & Primed,PS2,2004.0,Misc,Sony Computer Entertainment,0.04,0.03,0.0,0.01,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11489,Alien Syndrome,PSP,2007.0,Role-Playing,Sega,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,9,(5),10.8,+12 ans,1 à 4 joueurs en ad-hoc avec 4 exemplaires du jeu,,UMD,
11490,Monster Trucks DS,DS,2005.0,Racing,Majesco Entertainment,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,6,(7),2.4,+3 ans,4 joueurs,,Cartouche,Textes en français
11491,FabStyle,DS,2011.0,Strategy,Tecmo Koei,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11492,Outlaw Tennis,PS2,2005.0,Sports,Global Star,0.04,0.03,0.0,0.01,0.08,,,,,,,,,,,--,no_data,no_data,,,,,
11493,Grease Dance,PS3,2011.0,Misc,505 Games,0.05,0.02,0.0,0.01,0.08,,,,,,,,,,,9,(3),13.7,+12 ans,Jusqu'à 8 joueurs,,Blu-Ray,Voix en français Textes en français
11494,The Golf Club,PS4,2014.0,Sports,Unknown,0.05,0.02,0.0,0.01,0.08,,,,,,,,,,,--,(4),16.8,,,Jouable en solo Multi en ligne,PlayStation Store,Voix en anglais Textes en anglais
11495,Mission Runway,DS,2008.0,Simulation,Eidos Interactive,0.07,0.01,0.0,0.01,0.08,Virtual Playground,,,,,,,,,,no_data,no_data,no_data,,,,,
11496,Agatha Christie: And Then There Were None,Wii,2008.0,Adventure,The Adventure Company,0.06,0.01,0.0,0.01,0.08,,,,,,,,,,,13,(13),12.5,+12 ans,Non,Jouable en solo,DVD,Voix en français Textes en français
11497,Rayman Origins,PC,2012.0,Platform,Ubisoft,0.0,0.06,0.0,0.01,0.08,,,,7 ans et plus | de Ubisoft.,,,,,,,19,(362),18,+7 ans,4 joueurs,Jouable en solo Multi en local Multi en coopératif,DVD,Voix en français Textes en français
11498,Medabots Dual: Kabuto / Kuwagata,3DS,2013.0,Role-Playing,Rocket Company,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11499,We Sing Rock!,Wii,2011.0,Misc,Nordic Games,0.0,0.07,0.0,0.01,0.08,Le Cortex,,,,,Multijoueur,,,,,--,(1),17,+12 ans,,Jouable en solo Multi en local,,Textes en français
11500,LEGO Soccer Mania,GBA,2002.0,Sports,Electronic Arts,0.06,0.02,0.0,0.0,0.08,"Silicon Dreams Studio, Tiertex Design Studios",,,,,Multijoueur,,,,,no_data,no_data,no_data,,,,,
11501,Gunblade NY & L.A. Machineguns Arcade Hits Pack,Wii,2010.0,Shooter,Sega,0.06,0.01,0.0,0.01,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11502,Dawn of Heroes,DS,2010.0,Role-Playing,Majesco Entertainment,0.07,0.0,0.0,0.0,0.08,Wicked Studios,,,,,,,,,,--,(1),15,+7 ans,,,Cartouche,
11503,Imagine: My Restaurant,DS,2009.0,Simulation,Ubisoft,0.0,0.07,0.0,0.01,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11504,Gadget Racers,PS2,2000.0,Racing,Midas Interactive Entertainment,0.04,0.03,0.0,0.01,0.08,,,,,,,,,,,--,(0),--,,,,Cartouche,Voix en français Textes en français
11505,Phantasy Star Online Episode III: C.A.R.D. Revolution,GC,2003.0,Role-Playing,Sega,0.06,0.02,0.0,0.0,0.08,,,,,,,,,,,15,(21),16.9,+3 ans,2 à 4 joueurs,,Nintendo Game Disc,Textes en français Voix en anglais
11506,Nanashi no Game,DS,2008.0,Adventure,Square Enix,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,--,(2),16.5,,non,Jouable en solo,Cartouche,
11507,Bleach: Heat the Soul 7,PSP,2010.0,Fighting,Sony Computer Entertainment,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,--,(35),13,,,,UMD,
11508,Cosmic Family,Wii,2007.0,Misc,Ubisoft,0.07,0.0,0.0,0.01,0.08,"Ubisoft Barcelona, Ubisoft",,,,,Solo,,,,,--,no_data,no_data,,,,Cartouche,
11509,Whac-A-Mole,DS,2005.0,Puzzle,Zoo Digital Publishing,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,--,no_data,no_data,+3 ans,,,Cartouche,
11510,Auto Destruct,PS,1998.0,Action,Electronic Arts,0.04,0.03,0.0,0.01,0.08,,,,,,,,,,,--,(5),16.4,+3 ans,,,,
11511,Backyard NFL Football '09,DS,2008.0,Sports,Atari,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,--,(1),10,+3 ans,,,Cartouche,
11512,Terraria,3DS,2016.0,Action,505 Games,0.0,0.03,0.04,0.0,0.08,,,,,,,,,,,--,(7),12.1,+12 ans,,Jouable en solo Multi en ligne Multi en coopératif,,Voix en français Textes en français
11513,GOTHA: Ismailia Seneki,SAT,1995.0,Strategy,Sega,0.0,0.0,0.08,0.0,0.08,"Micronet co., Ltd.",,,,Gotha,,,,,,no_data,no_data,no_data,,,,,
11514,Dangerous Ji-San to 1000-nin no Otomodachi Yokoshima,3DS,2012.0,Action,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,--,(0),--,,,,Cartouche,
11515,MLB Front Office Manager,PS3,2009.0,Sports,Take-Two Interactive,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,--,(0),--,,,,Blu-Ray,
11516,Ultimate Fighting Championship: Throwdown,GC,2002.0,Fighting,Ubisoft,0.06,0.02,0.0,0.0,0.08,,,,,,,,,,,13,(2),10.5,+12 ans,,,,
11517,Deep Fear,SAT,1998.0,Adventure,Sega,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,14,(9),16,+16 ans,non,Jouable en solo,CD,Voix en anglais Textes en anglais
11518,Skeleton Warriors,PS,1996.0,Platform,Virgin Interactive,0.04,0.03,0.0,0.01,0.08,,,,,,,,,,,--,(2),14,,,,,
11519,Ford vs. Chevy,XB,2005.0,Racing,Global Star,0.06,0.02,0.0,0.0,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11520,Endgame,PS2,2002.0,Shooter,Empire Interactive,0.04,0.03,0.0,0.01,0.08,,,,,,,,,,,13,(4),9.8,,oui,,CD,
11521,Dragon's Dogma Online,PS4,2015.0,Role-Playing,Capcom,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,--,(0),--,+16 ans,,Multi en ligne Multi en coopératif,Online,
11522,The Dukes of Hazzard: Return of the General Lee,XB,2004.0,Racing,Ubisoft,0.06,0.02,0.0,0.0,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11523,Criminal Girls: Invite Only,PSP,2010.0,Role-Playing,Nippon Ichi Software,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,--,(3),14.7,+18 ans,,Jouable en solo,New Game Media PlayStation Store,Textes en anglais
11524,Ultimate Duck Hunting,Wii,2009.0,Sports,Zoo Digital Publishing,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,--,no_data,no_data,,,,,
11525,Virus,SAT,1997.0,Shooter,Hudson Soft,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,8,(49),5,+12 ans,,Jouable en solo,Disquette CD,Textes en français Voix en anglais
11526,Jikkyou Powerful Pro Yakyuu Next,Wii,2009.0,Sports,Konami Digital Entertainment,0.0,0.0,0.08,0.0,0.08,,,,,,,,,,,no_data,no_data,no_data,,,,,
11527,WWE Crush Hour,GC,2003.0,Racing,THQ,0.06,0.02,0.0,0.0,0.08,,,,,,,,,,,8,(10),7.2,+12 ans,,,DVD Nintendo Game Disc,Voix en anglais Textes en anglais
11528,Emily the Strange: Strangerous,DS,2011.0,Action,DTP Entertainment,0.04,0.03,0.0,0.01,0.08,,,,,,,,,,,12,(4),10.5,+12 ans,Non,Jouable en solo,Cartouche,Voix en français Textes en français
11529,Aliens in the Attic,Wii,2009.0,Action,Playlogic Game Factory,0.07,0.0,0.0,0.01,0.08,,,,,,,,,,,--,no_data,no_data,+12 ans,,,,
11530,Dragon Shadow Spell,PS2,2007.0,Role-Playing,Flight-Plan,0.0,0.0,0.08,0.0,0.08,Flight-Plan,,,,,,,,,,--,(0),--,,,,,
