,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,test_note_JVC,avis_count_JVC,avis_note_JVC,description_JVC,Classification_Age_JVC,max_joueurs_JVC,Mode_JVC,Support_JVC,Langue_JVC
58,7325,Crash 'N' Burn,PS2,2004.0,Racing,Eidos Interactive,0.11,0.08,0.0,0.03,0.21,11,(17),16.9,"Editeur(s) / Développeur(s) Eidos Interactive Climax
Sortie France 03 déc. 2004
Genre(s) Course
Classification +3 ans
Nombre maximum de joueurs 2 à 16 joueurs
Support(s) DVD
Langue de la version disponible en France Voix en français Textes en français",+3 ans,2 à 16 joueurs,,DVD,Voix en français Textes en français
59,7326,NBA,PSP,2005.0,Sports,Sony Computer Entertainment,0.2,0.0,0.0,0.02,0.21,18,(13),16.1,"Editeur(s) / Développeur(s) Visual Concepts 2K Games
Sortie France 09 sept. 2022
Genre(s) Sport",,,,,
60,7327,Teenage Mutant Ninja Turtles: Smash-Up,PS2,2009.0,Fighting,Ubisoft,0.11,0.08,0.0,0.03,0.21,14,(5),14.4,"Editeur(s) / Développeur(s) Game Arts Ubisoft
Sortie France 01 oct. 2009
Genre(s) Combat
Classification +12 ans
Nombre maximum de joueurs 2 à 4 joueurs
Support(s) DVD
Langue de la version disponible en France Voix en français Textes en français",+12 ans,2 à 4 joueurs,,DVD,Voix en français Textes en français
61,7328,Pro Yakyuu Greatest Nine '97,SAT,1997.0,Sports,Sega,0.0,0.0,0.21,0.0,0.21,no_data,no_data,no_data,no_data,,,,,
62,7329,Transformers: Dark of the Moon,3DS,2011.0,Action,Activision,0.16,0.04,0.0,0.02,0.21,5,(9),6.6,"Editeur(s) / Développeur(s) Behaviour Interactive Activision
Sortie France 24 juin 2011
Genre(s) Action
Classification +7 ans
Nombre maximum de joueurs 2 joueurs
Support(s) Cartouche
Langue de la version disponible en France Voix en français Textes en français",+7 ans,2 joueurs,,Cartouche,Voix en français Textes en français
63,7330,Final Fantasy Fables: Chocobo's Dungeon,Wii,2007.0,Role-Playing,Square Enix,0.09,0.0,0.11,0.01,0.21,14,(2),14.5,"Editeur(s) / Développeur(s) Square Enix
Sortie France 20 mars 2019
Genre(s) Dungeon RPG
Modèle(s) économique(s) Payant à l'acquisition",,,,,
64,7331,Lunar: Silver Star Story Complete,SAT,1997.0,Role-Playing,Kadokawa Shoten,0.0,0.0,0.21,0.0,0.21,--,(3),17.7,"Editeur(s) / Développeur(s) Game Arts Working Designs Kadokawa Shoten
Sortie France Le jeu est annulé
Genre(s) RPG
Support(s) CD
Date de sortie (aux Etats-Unis) 1993
Date de sortie (au Japon) 26 juin 1992",,,,CD,
65,7332,Dorabase DS: Dramatic Stadium,DS,2007.0,Sports,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21,--,(0),--,"Editeur(s) / Développeur(s) Bandai Namco
Sortie France Date de sortie inconnue
Genre(s) Sport
Web Site officiel
Support(s) Cartouche
Date de sortie (au Japon) 20 décembre 2007",,,,Cartouche,
66,7333,Disaster Report,PS2,2002.0,Action,Agetec,0.03,0.02,0.15,0.01,0.21,--,(2),16.5,"Editeur(s) / Développeur(s) Irem Irem Software
Sortie France 07 avr. 2020
Genre(s) Action Aventure
Web Site officiel
Titre aux Etats-Unis Disaster Report 4 Plus : Summer Memories
Titre au Japon Zettai Zetsumei Toshi 4 : Summer Memories
Support(s) Blu-Ray
Date de sortie (au Japon) 22 novembre 2018",,,,Blu-Ray,
67,7334,EVE: burst error,SAT,1997.0,Adventure,Imagineer,0.0,0.0,0.21,0.0,0.21,no_data,no_data,no_data,no_data,,,,,
68,7335,We Sing Robbie Williams,Wii,2010.0,Misc,Nordic Games,0.0,0.19,0.0,0.03,0.21,no_data,no_data,no_data,no_data,,,,,
69,7336,Backyard NFL Football '09,Wii,2008.0,Sports,Atari,0.2,0.0,0.0,0.02,0.21,--,(0),--,"Editeur(s) / Développeur(s) Atari Humongous Entertainment
Sortie France Date de sortie inconnue
Genre(s) Sport
Classification +3 ans
Support(s) DVD
Date de sortie (aux Etats-Unis) 21 octobre 2008",+3 ans,,,DVD,
70,7337,Pro Evolution Soccer 2012,Wii,2011.0,Action,Konami Digital Entertainment,0.08,0.08,0.03,0.02,0.21,13,(39),14,"Editeur(s) / Développeur(s) Konami
Sortie France 10 nov. 2011
Genre(s) Sport
Classification +3 ans
Mode(s) Multi sur le même écran Multi en ligne
Nombre maximum de joueurs Jusqu'à 4 joueurs sur un même écran ou en ligne
Web Site officiel
Support(s) DVD
Langue de la version disponible en France Voix en français Textes en français",+3 ans,Jusqu'à 4 joueurs sur un même écran ou en ligne,Multi sur le même écran Multi en ligne,DVD,Voix en français Textes en français
71,7338,Akiba's Trip: Undead & Undressed,PSV,2013.0,Action,Nippon Ichi Software,0.09,0.02,0.08,0.03,0.21,no_data,no_data,no_data,no_data,,,,,
72,7339,Speed Racer: The Videogame,PS2,2008.0,Racing,Warner Bros. Interactive Entertainment,0.1,0.08,0.0,0.03,0.21,no_data,no_data,no_data,no_data,,,,,
73,7340,College Hoops 2K7,X360,2006.0,Sports,Take-Two Interactive,0.2,0.0,0.0,0.02,0.21,--,no_data,no_data,"Editeur(s) / Développeur(s) 2K Sports Visual Concepts
Sortie France 4ème trimestre 2006
Genre(s) Sport
Classification +3 ans
Support(s) Blu-Ray DVD",+3 ans,,,,
74,7341,The Amazing Spider-Man 2 (2014),XOne,2014.0,Action,Activision,0.12,0.07,0.0,0.02,0.21,13,(28),15.4,"Editeur(s) / Développeur(s) Beenox Studios Gameloft Activision
Sortie France avr. 2014
Genre(s) Action
Classification +12 ans
Mode(s) Jouable en solo
Web Site officiel
Modèle(s) économique(s) Payant à l'acquisition
Support(s) Google Play Cartouche iDensity eShop Blu-Ray DVD App Store Online
Langue de la version disponible en France Voix en français Textes en français Voix en anglais",+12 ans,,Jouable en solo,Google Play Cartouche iDensity eShop Blu-Ray DVD App Store Online,Voix en français Textes en français Voix en anglais
75,7342,Big League Sports,X360,2011.0,Sports,Activision,0.18,0.02,0.0,0.01,0.21,5,(1),10,"Editeur(s) / Développeur(s) Robomodo Activision
Sortie France 10 nov. 2011
Genre(s) Sport Party-Game
Classification +3 ans
Nombre maximum de joueurs Jusqu'à 4 en local
Support(s) DVD
Date de sortie (aux Etats-Unis) 4ème trimestre 2011
Langue de la version disponible en France Voix en français Textes en français",+3 ans,Jusqu'à 4 en local,,DVD,Voix en français Textes en français
